h3_cell,lat,lon,period,query_timestamp,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score,tlc_yellow_trips,tlc_hvfhv_trips,tlc_trip_count,tlc_load_score,mta_ridership_total,mta_ridership_avg,mta_load_score,citibike_trip_count,citibike_load_score,avg_temperature_f,precip_mm,avg_wind_kmh,sunrise_hour,sunset_hour,day_length_hr,day_of_week,is_weekend,is_holiday,is_school_break,week_of_year,day_of_year,years_since_2020,is_post_covid,event_intensity_score,month_sin,month_cos,period_sin,period_cos
892a100894bffff,40.78196880060775,-73.974134284294,MD,2026-06-30T12:19:21.907338,0,5,16,1,4,1,0,27,12.05,44.68070175438597,63.92280701754385,108.60350877192982,13.62,1565.0,68.04347826086956,3.71,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100894fffff,40.779384300954376,-73.97189206979928,MD,2026-06-30T12:19:21.907338,0,1,0,0,0,0,0,1,0.45,44.68070175438597,63.92280701754385,108.60350877192982,13.62,0.0,0.0,0.0,250,11.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008953ffff,40.78478349529043,-73.9678185973902,MD,2026-06-30T12:19:21.907338,1,0,0,0,0,0,0,1,0.45,22.856140350877197,74.32105263157895,97.17719298245616,12.18,1489.0,62.04166666666666,3.53,300,13.21,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008957ffff,40.78219878645044,-73.96557660726104,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,0,0,0,0.0,3.6157894736842096,14.473684210526311,18.089473684210525,2.27,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100895bffff,40.78466849919962,-73.97209767683445,MD,2026-06-30T12:19:21.907338,0,22,14,1,0,3,0,40,17.86,64.00230263157894,131.26184210526316,195.2641447368421,24.48,0.0,0.0,0.0,197,8.66,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008963ffff,40.77421543543356,-73.96740839315652,MD,2026-06-30T12:19:21.907338,0,0,1,1,2,0,0,4,1.79,19.622807017543856,72.75438596491227,92.37719298245614,11.58,0.0,0.0,0.0,513,22.61,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008967ffff,40.77163106961075,-73.96516693093803,MD,2026-06-30T12:19:21.907338,0,2,10,2,1,0,0,15,6.7,16.00701754385965,58.28070175438596,74.2877192982456,9.31,0.0,0.0,0.0,203,8.92,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100896bffff,40.77410045201792,-73.97168650907608,MD,2026-06-30T12:19:21.907338,0,0,0,0,2,0,0,2,0.89,26.09122807017544,67.05438596491227,93.1456140350877,11.68,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100896fffff,40.77151616845454,-73.96944480935197,MD,2026-06-30T12:19:21.907338,0,0,0,0,0,0,0,0,0.0,30.229824561403507,86.95087719298245,117.18070175438596,14.69,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008973ffff,40.776914753361254,-73.96537174602872,MD,2026-06-30T12:19:21.907338,0,0,1,1,0,1,0,3,1.34,11.86842105263158,38.38421052631578,50.25263157894736,6.3,0.0,0.0,0.0,321,14.13,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
