h3_cell,lat,lon,period,query_timestamp,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score,tlc_yellow_trips,tlc_hvfhv_trips,tlc_trip_count,tlc_load_score,mta_ridership_total,mta_ridership_avg,mta_load_score,citibike_trip_count,citibike_load_score,avg_temperature_f,precip_mm,avg_wind_kmh,sunrise_hour,sunset_hour,day_length_hr,day_of_week,is_weekend,is_holiday,is_school_break,week_of_year,day_of_year,event_intensity_score,month_sin,month_cos,period_sin,period_cos,ensemble_log_pred,pedestrians_pred,crowd_score
892a100d667ffff,40.752738160175504,-73.97941708936834,PM,2026-06-29T17:08:39.271921,1,41,29,7,5,0,0,83,37.05,21035.0,37453.0,58488.0,40.1,41465.0,1151.8055555555557,100.0,1404,61.97,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.85781283645147,7028.1,90.5
892a100d66bffff,40.75520612324228,-73.98593486620214,PM,2026-06-29T17:08:39.271921,5,42,34,3,6,1,0,91,40.62,27428.0,27608.0,55036.0,37.74,38323.0,958.075,92.42,965,42.58,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.879194224680152,7180.0,90.8
892a100d66fffff,40.75262272796783,-73.98369325948109,PM,2026-06-29T17:08:39.271921,0,26,12,4,10,1,0,53,23.66,151.0,2834.0,2985.0,2.05,19220.0,565.2941176470588,46.32,784,34.58,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.881218776848758,7194.6,90.8
892a100d673ffff,40.75802059854109,-73.97962342753863,PM,2026-06-29T17:08:39.271921,1,31,76,5,4,0,0,117,52.23,0.0,0.0,0.0,0.0,22178.0,672.060606060606,53.46,816,36.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.854941405373417,7007.9,90.5
892a100d677ffff,40.75543699410768,-73.97738204475199,PM,2026-06-29T17:08:39.271921,0,32,27,16,1,0,0,76,33.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503,22.17,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.881009431354096,7193.0,90.8
892a100d67bffff,40.75790515988271,-73.98390007891497,PM,2026-06-29T17:08:39.271921,0,32,29,2,18,0,0,81,36.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939,41.43,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.974617296297001,7899.0,91.7
892a100d683ffff,40.766347735254335,-73.96496216197335,PM,2026-06-29T17:08:39.271921,0,13,24,3,0,3,0,43,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.685635787062838,5916.3,88.8
892a100d687ffff,40.76376358566216,-73.96272121424846,PM,2026-06-29T17:08:39.271921,0,7,9,0,2,0,0,18,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449,19.79,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.427899619996525,4571.9,86.1
892a100d68bffff,40.76623284041283,-73.96923955883975,PM,2026-06-29T17:08:39.271921,0,7,12,2,4,1,0,26,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.610787568071306,5489.6,88.0
892a100d68fffff,40.763648773039314,-73.96699837367477,PM,2026-06-29T17:08:39.271921,3,23,46,3,1,0,0,76,33.93,11993.0,25539.0,37532.0,25.74,20812.0,352.7457627118644,50.16,272,11.97,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.948299368870545,7693.8,91.5
