h3_cell,lat,lon
892a1008d97ffff,40.804252220352105,-73.93215012043909
892a1008d9bffff,40.80672451936617,-73.93867232313262
892a1008da3ffff,40.796267321184985,-73.93398840494557
892a1008dabffff,40.79615357934598,-73.93826849997674
892a1008dafffff,40.7935679517525,-73.936027646414
892a1008db3ffff,40.79896674131461,-73.93194893220341
892a1008db7ffff,40.79638090465295,-73.92970830367572
892a1008dbbffff,40.7988530756597,-73.93622927143312
892a1008dc3ffff,40.806496536244595,-73.9472344231698
892a1008dc7ffff,40.80391073008591,-73.94499256595968
892a1008dcbffff,40.80638230701124,-73.95151546362827
892a1008dcfffff,40.80379658313877,-73.9492733684697
892a1008dd3ffff,40.809196540060846,-73.94519524654464
892a1008dd7ffff,40.8066106070299,-73.94295337632198
892a1008ddbffff,40.80908238698872,-73.94947653137997
892a100a103ffff,40.873448602965105,-73.91762123660165
892a100a107ffff,40.870860037200536,-73.9153778648588
892a100a10bffff,40.87333548894646,-73.92190836169677
892a100a10fffff,40.87074700558051,-73.91966475115501
892a100a117ffff,40.873561558027944,-73.91333410543062
892a100a123ffff,40.86557017216256,-73.9151782848187
892a100a12bffff,40.86545714638318,-73.91946468751105
892a100a12fffff,40.86286887873378,-73.9172215929129
892a100a133ffff,40.86827151588664,-73.91313474469666
892a100a13bffff,40.86815856664507,-73.91742139220749
892a100a143ffff,40.87581066130864,-73.92843958162587
892a100a147ffff,40.87322221597293,-73.92619548066797
892a100a14fffff,40.87310878404553,-73.9304825934673
892a100a157ffff,40.87592401672048,-73.9241522238681
892a100a163ffff,40.86793219141575,-73.92599466896426
892a100a167ffff,40.86534396170859,-73.92375108410893
892a100a16bffff,40.86781876542987,-73.93028129811428
892a100a16fffff,40.86523061813975,-73.92803747456439
892a100a173ffff,40.87063381502519,-73.92395163135316
892a100a177ffff,40.868045458487785,-73.92170803364601
892a100a17bffff,40.87052046553551,-73.92823850540523
892a100a1abffff,40.87097290988434,-73.91109097251244
892a100aa03ffff,40.83563082401261,-73.94620933516283
892a100aa07ffff,40.83304403400936,-73.9439661441233
892a100aa0fffff,40.832929932681495,-73.94824960396497
892a100aa13ffff,40.8383317659165,-73.94416883474422
892a100aa17ffff,40.83574484906225,-73.9419256306854
892a100aa1bffff,40.83821765847589,-73.94845277751078
892a100aa23ffff,40.827756650865005,-73.94376349920985
892a100aa27ffff,40.825170076706165,-73.94152082367361
892a100aa2bffff,40.82764255564847,-73.94804647623538
892a100aa2fffff,40.825056063839156,-73.94580356251505
892a100aa33ffff,40.83045728848852,-73.9417232043568
892a100aa37ffff,40.82787058747249,-73.93948051582804
892a100aa3bffff,40.83034326953091,-73.94600642596188
892a100aa67ffff,40.82752830182389,-73.95232944685671
892a100aa6fffff,40.82741388939224,-73.956612411026
892a100aa77ffff,40.83022909194472,-73.95028964118484
892a100aa83ffff,40.84114663080507,-73.93784390887458
892a100aa87ffff,40.83855950472946,-73.93560093016777
892a100aa8bffff,40.841032758371604,-73.9421281026748
892a100aa8fffff,40.838445714668026,-73.93988488561392
892a100aa93ffff,40.84384759745182,-73.93580270043314
892a100aa97ffff,40.84126034452796,-73.9335597087806
892a100aa9bffff,40.84373380135632,-73.94008713892036
892a100aaa3ffff,40.83327176071689,-73.93539920540775
892a100aaabffff,40.833157976688156,-73.93968267792162
892a100aaafffff,40.83057114881659,-73.93743997641748
892a100aabbffff,40.83585871544231,-73.93764191987003
892a100aac7ffff,40.84091872722853,-73.94641229013342
892a100aad7ffff,40.843619846530686,-73.94437157108808
892a100ab0bffff,40.81741062149575,-73.9347943040059
892a100ab43ffff,40.8198832137709,-73.94131848862035
892a100ab47ffff,40.81729685555669,-73.93907632837534
892a100ab4bffff,40.819769206993115,-73.94560074480687
892a100ab4fffff,40.81718293108762,-73.94335834644366
892a100ab53ffff,40.82258354707676,-73.93927839931774
892a100ab57ffff,40.81999706199917,-73.93703622610694
892a100ab5bffff,40.82246961653919,-73.94356089998848
892a100ab63ffff,40.81201051296794,-73.93887430298544
892a100ab67ffff,40.80942437079848,-73.93663265781983
892a100ab6bffff,40.811896594565965,-73.94315583855997
892a100ab6fffff,40.80931053466442,-73.94091395534198
892a100ab73ffff,40.814710541918906,-73.93683441921814
892a100ab77ffff,40.812124272879906,-73.93459276111344
892a100ab7bffff,40.81459669973843,-73.94111619918161
892a100abcbffff,40.82528393098363,-73.9372380785016
892a100abcfffff,40.82269731904433,-73.9349958923422
892a100abdbffff,40.82798436546994,-73.93519752613769
892a100ae03ffff,40.8545384781595,-73.93192096636656
892a100ae07ffff,40.85195080023437,-73.92967768455331
892a100ae0bffff,40.854424828802834,-73.93620637754152
892a100ae0fffff,40.85183723327225,-73.933962857204
892a100ae13ffff,40.85723977346837,-73.92987884367265
892a100ae17ffff,40.854651968703976,-73.92763554896057
892a100ae1bffff,40.85712620052877,-73.93416449964211
892a100ae23ffff,40.84666217557272,-73.92947657081449
892a100ae2bffff,40.84654861458669,-73.93376126025531
892a100ae2fffff,40.843961234816234,-73.93151825567428
892a100ae33ffff,40.849363166775795,-73.92743465416692
892a100ae3bffff,40.84924968218808,-73.93171958830678
892a100ae47ffff,40.85431102063497,-73.94049178243748
892a100ae57ffff,40.85701246875744,-73.93845014935471
892a100ae63ffff,40.849022236697245,-73.9402894378564
892a100ae67ffff,40.84643489484907,-73.93804594344661
892a100ae6bffff,40.848908275796084,-73.94457435317035
892a100ae6fffff,40.84632101636079,-73.94233062034051
892a100ae73ffff,40.85172350751847,-73.93824802360152
892a100ae77ffff,40.849136038828235,-73.93600451621927
892a100ae7bffff,40.851609622973974,-73.94253318369793
892a100ae83ffff,40.86005445682665,-73.92355058212016
892a100ae87ffff,40.85746644284852,-73.92130751315497
892a100ae8bffff,40.85994111917725,-73.92783648908794
892a100ae8fffff,40.85735318757527,-73.92559318149428
892a100ae93ffff,40.8627557764365,-73.92150775080384
892a100ae97ffff,40.860167635621885,-73.91926466901354
892a100ae9bffff,40.862642515264525,-73.92579390257816
892a100aeabffff,40.85206420840385,-73.92539250569736
892a100aebbffff,40.85476530043531,-73.92335012537147
892a100aec3ffff,40.86241551630037,-73.934366187585
892a100aec7ffff,40.85982762267464,-73.932122389869
892a100aecfffff,40.85971396731978,-73.93640828441532
892a100aed3ffff,40.86511711567761,-73.93232385882943
892a100aed7ffff,40.86252909521884,-73.93008004818786
892a100d04bffff,40.74498799569922,-73.97269448397236
892a100d05bffff,40.74768644890629,-73.97065939959245
892a100d203ffff,40.74194333566656,-73.98755496140967
