h3_cell,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score
892a100d357ffff,0,22,16,1,1,1,0,41,18.3
892a100d35bffff,0,72,84,1,3,1,0,161,71.88
892a100d363ffff,0,2,3,0,0,1,0,6,2.68
892a100d367ffff,0,0,0,0,0,0,0,0,0.0
892a100d36bffff,0,29,41,1,2,2,0,75,33.48
892a100d36fffff,0,9,8,0,0,0,0,17,7.59
892a100d373ffff,0,3,3,0,0,3,1,10,4.46
892a100d377ffff,0,0,0,0,0,1,0,1,0.45
892a100d37bffff,0,25,36,4,0,2,0,67,29.91
892a100d3c3ffff,0,0,0,0,0,0,0,0,0.0
892a100d3c7ffff,0,0,1,0,0,0,0,1,0.45
892a100d3cbffff,0,1,0,1,0,0,0,2,0.89
892a100d3cfffff,0,6,8,0,0,0,0,14,6.25
892a100d3dbffff,0,1,0,0,0,0,0,1,0.45
892a100d443ffff,0,2,0,0,0,2,0,4,1.79
892a100d44bffff,0,12,12,0,0,0,0,24,10.71
892a100d44fffff,0,0,0,0,0,1,0,1,0.45
892a100d453ffff,0,4,8,0,0,0,0,12,5.36
892a100d45bffff,0,33,33,1,0,0,0,67,29.91
892a100d4cbffff,0,9,5,0,0,1,0,15,6.7
892a100d4dbffff,0,2,5,0,0,0,0,7,3.12
892a100d603ffff,0,21,34,6,5,1,0,67,29.91
892a100d607ffff,2,21,8,6,3,0,0,40,17.86
892a100d60bffff,1,18,24,3,5,0,0,51,22.77
892a100d60fffff,0,14,16,7,2,0,0,39,17.41
892a100d613ffff,0,13,19,1,4,0,0,37,16.52
892a100d617ffff,0,27,30,8,4,1,0,70,31.25
892a100d61bffff,1,32,20,2,5,0,0,60,26.79
892a100d623ffff,0,25,16,32,3,0,0,76,33.93
892a100d627ffff,0,4,3,24,2,0,0,33,14.73
892a100d62bffff,2,60,29,12,4,0,0,107,47.77
892a100d62fffff,0,22,13,68,3,2,0,108,48.21
892a100d633ffff,0,35,11,11,3,0,0,60,26.79
892a100d637ffff,0,5,5,30,1,0,0,41,18.3
892a100d63bffff,0,24,8,2,11,1,0,46,20.54
892a100d643ffff,2,36,23,3,6,1,0,71,31.7
892a100d647ffff,0,28,14,0,9,0,0,51,22.77
892a100d64bffff,0,44,10,0,2,2,0,58,25.89
892a100d64fffff,1,38,20,1,16,0,0,76,33.93
892a100d653ffff,0,49,25,3,7,0,0,84,37.5
892a100d657ffff,2,37,14,0,6,1,0,60,26.79
892a100d65bffff,0,27,10,1,0,1,1,40,17.86
892a100d663ffff,1,35,22,9,9,1,0,77,34.38
892a100d667ffff,1,41,29,7,5,0,0,83,37.05
892a100d66bffff,5,42,34,3,6,1,0,91,40.62
892a100d66fffff,0,26,12,4,10,1,0,53,23.66
892a100d673ffff,1,31,76,5,4,0,0,117,52.23
892a100d677ffff,0,32,27,16,1,0,0,76,33.93
892a100d67bffff,0,32,29,2,18,0,0,81,36.16
892a100d683ffff,0,13,24,3,0,3,0,43,19.2
892a100d687ffff,0,7,9,0,2,0,0,18,8.04
892a100d68bffff,0,7,12,2,4,1,0,26,11.61
892a100d68fffff,3,23,46,3,1,0,0,76,33.93
892a100d693ffff,1,8,27,1,1,2,0,40,17.86
892a100d697ffff,0,11,26,0,0,5,0,42,18.75
892a100d69bffff,0,4,19,4,0,2,0,29,12.95
892a100d6a3ffff,0,20,21,2,1,0,0,44,19.64
892a100d6abffff,0,22,16,0,0,2,0,40,17.86
892a100d6afffff,0,9,11,2,0,2,0,24,10.71
892a100d6b3ffff,0,22,22,1,1,0,0,46,20.54
892a100d6bbffff,0,22,42,2,0,0,0,66,29.46
892a100d6c3ffff,0,1,0,0,1,0,0,2,0.89
892a100d6c7ffff,1,3,3,0,1,0,0,8,3.57
892a100d6cbffff,2,4,4,0,2,0,0,12,5.36
892a100d6cfffff,0,13,18,2,6,0,0,39,17.41
892a100d6d3ffff,0,0,0,0,0,0,0,0,0.0
892a100d6d7ffff,0,0,2,0,11,1,0,14,6.25
892a100d6dbffff,0,0,1,0,0,0,0,1,0.45
892a100f24bffff,0,1,1,0,0,3,0,5,2.23
892a100f25bffff,0,1,4,0,1,3,0,9,4.02
892a100f64bffff,0,0,1,0,0,0,0,1,0.45
