h3_cell,period,tlc_yellow_trips,tlc_yellow_avg_fare,tlc_hvfhv_trips,tlc_hvfhv_avg_fare,tlc_trip_count,tlc_load_score,survey_date
892a1008887ffff,AM,30.287609649122807,16.711745570944924,81.5265350877193,30.864031419353275,111.81414473684212,14.02,reference
892a1008887ffff,EARLY,29.738815789473684,17.637559097939263,96.69331140350876,33.15085284097594,126.43212719298243,15.85,reference
892a1008887ffff,EVE,85.39462719298245,16.853201208867535,176.13804824561402,31.64035515029729,261.53267543859647,32.79,reference
892a1008887ffff,MD,60.27017543859649,18.32861255903268,117.46107456140348,35.35654233904816,177.73125,22.28,reference
892a1008887ffff,NIGHT,35.93081140350877,18.76167337851311,81.17017543859649,35.25166339727562,117.10098684210526,14.68,reference
892a1008887ffff,PM,73.95964912280701,18.503044562260047,133.66008771929825,37.08672695313948,207.61973684210523,26.03,reference
892a100888bffff,AM,15.277083333333334,17.364252011455065,48.77916666666667,32.85084436661826,64.05625,8.03,reference
892a100888bffff,EARLY,16.5125,18.90538480948776,58.76875,35.74979191038321,75.28125,9.44,reference
892a100888bffff,EVE,53.610416666666666,18.01202696926126,112.05208333333331,35.19938012457005,165.6625,20.77,reference
892a100888bffff,MD,37.56666666666667,19.43883318544809,75.83125,38.10281875875711,113.39791666666667,14.22,reference
892a100888bffff,NIGHT,21.73958333333333,20.743822712026837,51.86666666666667,41.22527554627249,73.60625,9.23,reference
892a100888bffff,PM,48.1,19.143169178794174,86.95833333333333,39.96475443219933,135.05833333333334,16.93,reference
892a100888fffff,AM,15.277083333333334,17.364252011455065,48.77916666666667,32.85084436661826,64.05625,8.03,reference
892a100888fffff,EARLY,16.5125,18.90538480948776,58.76875,35.74979191038321,75.28125,9.44,reference
892a100888fffff,EVE,53.610416666666666,18.01202696926126,112.05208333333331,35.19938012457005,165.6625,20.77,reference
892a100888fffff,MD,37.56666666666667,19.43883318544809,75.83125,38.10281875875711,113.39791666666667,14.22,reference
892a100888fffff,NIGHT,21.73958333333333,20.743822712026837,51.86666666666667,41.22527554627249,73.60625,9.23,reference
892a100888fffff,PM,48.1,19.143169178794174,86.95833333333333,39.96475443219933,135.05833333333334,16.93,reference
892a1008893ffff,AM,15.277083333333334,17.364252011455065,48.77916666666667,32.85084436661826,64.05625,8.03,reference
892a1008893ffff,EARLY,16.5125,18.90538480948776,58.76875,35.74979191038321,75.28125,9.44,reference
892a1008893ffff,EVE,53.610416666666666,18.01202696926126,112.05208333333331,35.19938012457005,165.6625,20.77,reference
892a1008893ffff,MD,37.56666666666667,19.43883318544809,75.83125,38.10281875875711,113.39791666666667,14.22,reference
892a1008893ffff,NIGHT,21.73958333333333,20.743822712026837,51.86666666666667,41.22527554627249,73.60625,9.23,reference
892a1008893ffff,PM,48.1,19.143169178794174,86.95833333333333,39.96475443219933,135.05833333333334,16.93,reference
892a1008897ffff,AM,30.287609649122807,16.711745570944924,81.5265350877193,30.864031419353275,111.81414473684212,14.02,reference
892a1008897ffff,EARLY,29.738815789473684,17.637559097939263,96.69331140350876,33.15085284097594,126.43212719298243,15.85,reference
892a1008897ffff,EVE,85.39462719298245,16.853201208867535,176.13804824561402,31.64035515029729,261.53267543859647,32.79,reference
892a1008897ffff,MD,60.27017543859649,18.32861255903268,117.46107456140348,35.35654233904816,177.73125,22.28,reference
892a1008897ffff,NIGHT,35.93081140350877,18.76167337851311,81.17017543859649,35.25166339727562,117.10098684210526,14.68,reference
892a1008897ffff,PM,73.95964912280701,18.503044562260047,133.66008771929825,37.08672695313948,207.61973684210523,26.03,reference
892a100889bffff,AM,15.277083333333334,17.364252011455065,48.77916666666667,32.85084436661826,64.05625,8.03,reference
892a100889bffff,EARLY,16.5125,18.90538480948776,58.76875,35.74979191038321,75.28125,9.44,reference
892a100889bffff,EVE,53.610416666666666,18.01202696926126,112.05208333333331,35.19938012457005,165.6625,20.77,reference
892a100889bffff,MD,37.56666666666667,19.43883318544809,75.83125,38.10281875875711,113.39791666666667,14.22,reference
892a100889bffff,NIGHT,21.73958333333333,20.743822712026837,51.86666666666667,41.22527554627249,73.60625,9.23,reference
892a100889bffff,PM,48.1,19.143169178794174,86.95833333333333,39.96475443219933,135.05833333333334,16.93,reference
892a10088a3ffff,AM,6.873684210526315,18.8920112302195,37.51929824561403,29.82918357804171,44.392982456140345,5.57,reference
