h3_cell,period,citibike_trip_count,citibike_load_score,survey_date
892a1008cafffff,MD,188,8.26,reference
892a1008cafffff,NIGHT,39,1.68,reference
892a1008cafffff,PM,270,11.88,reference
892a1008cb3ffff,AM,67,2.92,reference
892a1008cb3ffff,EARLY,32,1.37,reference
892a1008cb3ffff,EVE,93,4.06,reference
892a1008cb3ffff,MD,101,4.42,reference
892a1008cb3ffff,NIGHT,18,0.75,reference
892a1008cb3ffff,PM,138,6.05,reference
892a1008cb7ffff,AM,64,2.78,reference
892a1008cb7ffff,EARLY,29,1.24,reference
892a1008cb7ffff,EVE,33,1.41,reference
892a1008cb7ffff,MD,61,2.65,reference
892a1008cb7ffff,NIGHT,13,0.53,reference
892a1008cb7ffff,PM,68,2.96,reference
892a1008cbbffff,AM,27,1.15,reference
892a1008cbbffff,EARLY,12,0.49,reference
892a1008cbbffff,EVE,16,0.66,reference
892a1008cbbffff,MD,53,2.3,reference
892a1008cbbffff,NIGHT,2,0.04,reference
892a1008cbbffff,PM,72,3.14,reference
892a1008d03ffff,AM,20,0.84,reference
892a1008d03ffff,EARLY,30,1.28,reference
892a1008d03ffff,EVE,39,1.68,reference
892a1008d03ffff,MD,37,1.59,reference
892a1008d03ffff,NIGHT,16,0.66,reference
892a1008d03ffff,PM,56,2.43,reference
892a1008d07ffff,AM,115,5.04,reference
892a1008d07ffff,EARLY,55,2.39,reference
892a1008d07ffff,EVE,131,5.74,reference
892a1008d07ffff,MD,179,7.86,reference
892a1008d07ffff,NIGHT,35,1.5,reference
892a1008d07ffff,PM,172,7.55,reference
892a1008d0bffff,AM,149,6.54,reference
892a1008d0bffff,EARLY,64,2.78,reference
892a1008d0bffff,EVE,131,5.74,reference
892a1008d0bffff,MD,147,6.45,reference
892a1008d0bffff,NIGHT,24,1.02,reference
892a1008d0bffff,PM,196,8.61,reference
892a1008d13ffff,AM,116,5.08,reference
892a1008d13ffff,EARLY,55,2.39,reference
892a1008d13ffff,EVE,135,5.92,reference
892a1008d13ffff,MD,160,7.02,reference
892a1008d13ffff,NIGHT,22,0.93,reference
892a1008d13ffff,PM,207,9.1,reference
892a1008d17ffff,AM,80,3.49,reference
892a1008d17ffff,EARLY,46,1.99,reference
892a1008d17ffff,EVE,128,5.61,reference
892a1008d17ffff,MD,145,6.36,reference
892a1008d17ffff,NIGHT,19,0.8,reference
892a1008d17ffff,PM,204,8.97,reference
892a1008d27ffff,AM,69,3.0,reference
892a1008d27ffff,EARLY,28,1.19,reference
892a1008d27ffff,EVE,67,2.92,reference
892a1008d27ffff,MD,51,2.21,reference
892a1008d27ffff,NIGHT,10,0.4,reference
892a1008d27ffff,PM,86,3.75,reference
892a1008d2bffff,AM,126,5.52,reference
892a1008d2bffff,EARLY,46,1.99,reference
892a1008d2bffff,EVE,124,5.43,reference
892a1008d2bffff,MD,160,7.02,reference
892a1008d2bffff,NIGHT,35,1.5,reference
892a1008d2bffff,PM,225,9.89,reference
892a1008d2fffff,AM,77,3.36,reference
892a1008d2fffff,EARLY,61,2.65,reference
892a1008d2fffff,EVE,64,2.78,reference
892a1008d2fffff,MD,93,4.06,reference
892a1008d2fffff,NIGHT,13,0.53,reference
892a1008d2fffff,PM,100,4.37,reference
892a1008d37ffff,AM,106,4.64,reference
892a1008d37ffff,EARLY,56,2.43,reference
892a1008d37ffff,EVE,129,5.65,reference
892a1008d37ffff,MD,105,4.59,reference
892a1008d37ffff,NIGHT,19,0.8,reference
892a1008d37ffff,PM,156,6.85,reference
892a1008d3bffff,AM,51,2.21,reference
892a1008d3bffff,EARLY,22,0.93,reference
892a1008d3bffff,EVE,34,1.46,reference
892a1008d3bffff,MD,53,2.3,reference
892a1008d3bffff,NIGHT,7,0.27,reference
892a1008d3bffff,PM,70,3.05,reference
892a1008d43ffff,AM,327,14.4,reference
892a1008d43ffff,EARLY,107,4.68,reference
892a1008d43ffff,EVE,408,17.98,reference
892a1008d43ffff,MD,569,25.09,reference
892a1008d43ffff,NIGHT,45,1.94,reference
892a1008d43ffff,PM,692,30.52,reference
