h3_cell,period,mta_ridership_total,mta_ridership_avg,mta_station_count,mta_transfers_total,mta_load_score,survey_date
892a1008d57ffff,EVE,1156.0,44.46153846153846,1,45.0,2.72,reference
892a1008d57ffff,MD,1195.0,39.833333333333336,1,91.0,2.82,reference
892a1008d57ffff,NIGHT,167.0,13.916666666666666,1,14.0,0.34,reference
892a1008d57ffff,PM,1795.0,61.89655172413793,1,92.0,4.27,reference
892a1008d83ffff,AM,4629.0,201.2608695652174,1,340.0,11.11,reference
892a1008d83ffff,EARLY,1350.0,32.926829268292686,1,135.0,3.19,reference
892a1008d83ffff,EVE,2791.0,96.24137931034484,1,240.0,6.67,reference
892a1008d83ffff,MD,3108.0,97.125,1,220.0,7.44,reference
892a1008d83ffff,NIGHT,535.0,35.666666666666664,1,52.0,1.23,reference
892a1008d83ffff,PM,5613.0,181.06451612903223,1,414.0,13.48,reference
892a1008dd3ffff,AM,2094.0,91.04347826086956,1,129.0,4.99,reference
892a1008dd3ffff,EARLY,485.0,13.47222222222222,1,56.0,1.11,reference
892a1008dd3ffff,EVE,2160.0,80.0,1,111.0,5.15,reference
892a1008dd3ffff,MD,2088.0,65.25,1,146.0,4.97,reference
892a1008dd3ffff,NIGHT,306.0,25.5,1,19.0,0.67,reference
892a1008dd3ffff,PM,3757.0,125.23333333333332,1,218.0,9.0,reference
892a100a107ffff,AM,393.0,23.11764705882353,1,9.0,0.88,reference
892a100a107ffff,EARLY,104.0,4.521739130434782,1,0.0,0.19,reference
892a100a107ffff,EVE,250.0,11.904761904761903,1,1.0,0.54,reference
892a100a107ffff,MD,342.0,14.25,1,3.0,0.76,reference
892a100a107ffff,NIGHT,38.0,4.222222222222222,1,1.0,0.03,reference
892a100a107ffff,PM,444.0,15.310344827586206,1,8.0,1.01,reference
892a100a12bffff,AM,1329.0,69.94736842105263,1,229.0,3.14,reference
892a100a12bffff,EARLY,561.0,16.5,1,85.0,1.29,reference
892a100a12bffff,EVE,567.0,22.68,1,90.0,1.3,reference
892a100a12bffff,MD,829.0,33.16,1,151.0,1.94,reference
892a100a12bffff,NIGHT,107.0,8.916666666666666,1,11.0,0.19,reference
892a100a12bffff,PM,1139.0,47.458333333333336,1,195.0,2.68,reference
892a100a16fffff,AM,1635.0,81.75,1,22.0,3.88,reference
892a100a16fffff,EARLY,514.0,16.580645161290324,1,2.0,1.18,reference
892a100a16fffff,EVE,544.0,23.65217391304348,1,8.0,1.25,reference
892a100a16fffff,MD,915.0,35.19230769230769,1,9.0,2.14,reference
892a100a16fffff,NIGHT,83.0,8.3,1,1.0,0.14,reference
892a100a16fffff,PM,1182.0,47.28,1,26.0,2.79,reference
892a100a177ffff,AM,2266.0,98.52173913043478,1,248.0,5.4,reference
892a100a177ffff,EARLY,769.0,20.23684210526316,1,95.0,1.79,reference
892a100a177ffff,EVE,713.0,26.40740740740741,1,82.0,1.66,reference
892a100a177ffff,MD,1170.0,43.333333333333336,1,109.0,2.76,reference
892a100a177ffff,NIGHT,111.0,8.538461538461538,1,4.0,0.2,reference
